id_batiment,nb_infras,total_longueur,nb_intactes,nb_a_remplacer
E000001,4,109.16665309268079,4,0
E000002,4,102.6908145567572,4,0
E000003,4,66.85585082287409,1,3
E000004,5,129.8935193468845,5,0
E000005,5,133.9017768805357,5,0
E000006,4,100.47853227753791,4,0
E000007,4,74.84790078128408,4,0
E000008,4,71.09871117225707,4,0
E000009,4,72.87866100505616,4,0
E000010,4,76.19753020288519,4,0
E000011,4,78.4179009971292,4,0
E000012,4,146.58472162329974,4,0
E000013,4,148.2816484134135,4,0
E000014,4,149.9494643445627,4,0
E000015,6,170.17399221063516,6,0
E000016,6,168.06628676771567,6,0
E000017,5,165.62517518239397,5,0
E000018,5,167.00716605960474,5,0
E000019,5,167.64798899656574,5,0
E000020,5,167.88983471810894,5,0
E000021,5,170.5351415453301,5,0
E000022,5,162.57253403701796,5,0
E000023,5,166.703867804613,5,0
E000024,5,168.4800153834104,5,0
E000025,7,230.39105707228904,7,0
E000026,7,233.50851284584826,7,0
E000027,7,236.80810090307156,7,0
E000028,7,240.39401842995215,7,0
E000029,7,190.21234700607582,7,0
E000030,7,190.4517137710884,7,0
E000031,7,191.8782165419141,7,0
E000032,7,194.002172202905,7,0
E000033,7,195.99482371972312,7,0
E000034,7,182.8205071127393,7,0
E000035,7,190.60196450874366,7,0
E000036,7,200.41762991128712,7,0
E000037,7,202.88805114628337,7,0
E000038,7,209.14504454056447,7,0
E000039,7,173.86595346412082,7,0
E000040,6,158.40104776772063,6,0
E000041,6,166.3468897117583,6,0
E000042,6,191.31874393559218,6,0
E000043,6,192.3855300406388,6,0
E000044,6,195.6201436557021,6,0
E000045,8,212.33296375804196,8,0
E000046,8,219.2374456691427,8,0
E000047,8,220.2781292217191,8,0
E000048,8,222.1595628167237,8,0
E000049,8,241.1608757800658,8,0
E000050,8,241.1159368226607,8,0
E000051,8,241.4508234385679,8,0
E000052,8,242.45219175941452,8,0
E000053,8,222.3095443904533,8,0
E000054,8,222.2950368479114,8,0
E000055,8,223.3593793093872,8,0
E000056,8,223.93098402257917,8,0
E000057,8,224.42253013045956,8,0
E000058,8,235.29135910987978,8,0
E000059,8,237.23168790848337,8,0
E000060,8,189.5444044099395,8,0
E000061,8,209.70347509900455,8,0
E000062,8,219.99121358442966,8,0
E000063,8,200.9074031696697,8,0
E000064,8,201.9334633155412,8,0
E000065,8,207.59712676343764,8,0
E000066,8,208.64166264564267,8,0
E000067,8,184.80184589318793,5,3
E000068,7,192.12418213788538,7,0
E000069,7,195.32164491720897,7,0
E000070,7,205.99760952226893,7,0
E000071,7,211.57835443753845,7,0
E000072,7,199.3202584589526,7,0
E000073,7,201.09831046468554,7,0
E000074,7,201.40223528351265,7,0
E000075,7,213.9197404152138,7,0
E000076,7,215.7261789156837,7,0
E000077,7,217.84215351809794,7,0
E000078,7,218.9917443776249,7,0
E000079,7,221.9634553188304,7,0
E000080,7,226.98425431269152,7,0
E000081,7,204.58457367722983,7,0
E000082,9,271.817055455822,9,0
E000083,9,281.04873552973777,9,0
E000084,9,283.525053995382,9,0
E000085,9,218.63501987598818,6,3
E000086,10,255.55789589120815,10,0
E000087,10,256.29162014679014,10,0
E000088,10,258.0966265767761,10,0
E000089,10,262.2097656034664,10,0
E000090,10,269.8812406053167,10,0
E000091,10,270.3721864721648,10,0
E000092,10,273.71951165950054,10,0
E000093,10,277.4936093506538,10,0
E000094,10,271.209427620688,10,0
E000095,10,272.89123330118605,10,0
E000096,10,274.1703327878244,10,0
E000097,10,278.4860629292828,10,0
E000098,10,274.0223197512211,8,2
E000099,10,305.9934491419245,10,0
E000100,10,309.4154223873246,10,0
E000101,10,284.9469740868343,10,0
E000102,10,286.7245438554049,10,0
E000103,10,319.4663278748542,10,0
E000104,10,321.6919151967209,10,0
E000105,10,320.1024728589315,10,0
E000106,10,226.553956205353,6,4
E000107,10,228.52931756649008,6,4
E000108,10,239.65370629493876,6,4
E000109,10,240.35222301170495,6,4
E000110,10,250.3861766740198,6,4
E000111,8,183.45091256037915,5,3
E000112,11,314.8895864887136,9,2
E000113,11,345.8870800766651,11,0
E000114,11,273.1140068223118,11,0
E000115,11,274.5737979319578,11,0
E000116,11,276.1789538191899,11,0
E000117,11,279.8420343055265,11,0
E000118,12,371.39692874506073,12,0
E000119,12,373.3354074826564,12,0
E000120,12,341.5127738840893,12,0
E000121,13,379.5038061655094,13,0
E000122,13,415.42758233677927,13,0
E000123,12,376.88673842796436,12,0
E000124,11,316.7336797600837,11,0
E000125,11,319.1638662903739,11,0
E000126,11,329.8298777716109,11,0
E000127,13,344.1561716389927,10,3
E000128,13,293.71500395357134,10,3
E000129,13,323.419465033639,10,3
E000130,14,387.6614283375728,14,0
E000131,14,396.0472479887335,14,0
E000132,14,401.66220161702586,14,0
E000133,14,402.0009771760364,14,0
E000134,14,407.3156397608021,14,0
E000135,14,430.411535900831,14,0
E000136,14,434.81615887772074,14,0
E000137,14,441.34854798382287,14,0
E000138,14,446.4440029907174,14,0
E000139,11,317.1620433522784,11,0
E000140,11,317.671655460854,11,0
E000141,11,322.8301903816442,11,0
E000142,11,318.7754507715783,11,0
E000143,11,323.4797959844918,11,0
E000144,14,367.9825706764266,10,4
E000145,14,357.31808504726354,10,4
E000146,13,327.4372443720808,7,6
E000147,15,554.3388890204333,15,0
E000148,15,481.20930292232947,15,0
E000149,15,487.73103994677837,15,0
E000150,15,482.07392525072817,15,0
E000151,15,490.94279877721874,15,0
E000152,15,464.5628105851563,15,0
E000153,15,466.10001740702705,15,0
E000154,11,318.6473916311826,11,0
E000155,11,325.03593170282323,11,0
E000156,13,355.494856887964,13,0
E000157,13,360.52216375598385,13,0
E000158,13,361.98181312097506,13,0
E000159,13,366.0086001247512,13,0
E000160,15,354.9234367876416,7,8
E000161,15,364.00948046790376,7,8
E000162,16,597.330009242423,16,0
E000163,16,604.0540168240067,16,0
E000164,12,358.17867296260926,12,0
E000165,12,359.9488845581688,12,0
E000166,12,363.69766095131706,12,0
E000167,12,365.1852055764323,12,0
E000168,12,366.23364274266834,12,0
E000169,12,366.4865393706947,12,0
E000170,12,368.50973098289774,12,0
E000171,12,369.2942229614525,12,0
E000172,14,371.4201157040726,14,0
E000173,14,378.34510549769965,14,0
E000174,16,395.71349458459514,7,9
E000175,16,417.5104963578048,7,9
E000176,16,407.2368654330322,7,9
E000177,16,410.123751817517,7,9
E000178,16,354.8314748026142,7,9
E000179,17,513.2460916903772,17,0
E000180,17,514.1872144660381,17,0
E000181,17,515.049556143565,17,0
E000182,17,519.6394594277415,17,0
E000183,17,570.3885321506144,14,3
E000184,17,584.579512912242,14,3
E000185,13,336.55544406817467,10,3
E000186,13,368.9854538781991,13,0
E000187,13,376.69510663332477,13,0
E000188,15,371.6709625349122,12,3
E000189,12,330.94464038809275,12,0
E000190,12,357.79275675842774,12,0
E000191,12,360.1414863875498,12,0
E000192,11,320.4782204058662,11,0
E000193,17,427.16105313600474,7,10
E000194,12,329.8699462636827,8,4
E000195,12,332.62567431132305,8,4
E000196,12,335.1616970600782,8,4
E000197,16,354.37135877551185,7,9
E000198,17,368.880853941143,7,10
E000199,18,528.9336478095473,18,0
E000200,18,537.0469501602771,18,0
E000201,18,541.1970237741224,18,0
E000202,18,544.2587582812422,18,0
E000203,18,535.4640681796719,18,0
E000204,18,537.3362614948371,18,0
E000205,18,539.0755194868974,18,0
E000206,17,509.40286575706136,17,0
E000207,17,510.9141777395602,17,0
E000208,17,514.0788111752693,17,0
E000209,17,518.8155418987374,17,0
E000210,14,407.5754902128061,14,0
E000211,14,408.76978182530246,14,0
E000212,14,413.27222151433494,14,0
E000213,14,411.1873372036928,14,0
E000214,14,413.84236656738466,14,0
E000215,14,413.18130848010276,14,0
E000216,12,356.31448181888624,12,0
E000217,12,358.12869564693216,12,0
E000218,12,361.0614564812374,12,0
E000219,12,363.24064478367546,12,0
E000220,13,375.72597739301614,13,0
E000221,13,380.59402657088395,13,0
E000222,12,333.383084548521,10,2
E000223,12,326.00458477664245,12,0
E000224,12,326.95664326178075,12,0
E000225,12,330.222896631929,8,4
E000226,16,355.53749223656627,7,9
E000227,16,356.2436830281132,7,9
E000228,18,363.9232772344995,7,11
E000229,18,367.35028182759027,7,11
E000230,19,553.5502616750796,19,0
E000231,19,558.0253216985291,19,0
E000232,19,565.5628381400055,19,0
E000233,19,543.1648491412132,19,0
E000234,19,544.0484176495316,19,0
E000235,19,557.8212026342371,19,0
E000236,19,558.0694194576714,19,0
E000237,17,516.3560501560321,17,0
E000238,17,520.8166164221518,17,0
E000239,15,432.53216944118196,15,0
E000240,15,436.81444613395394,15,0
E000241,15,438.6396161723657,15,0
E000242,15,441.14889393713975,15,0
E000243,14,411.9077944189547,14,0
E000244,14,414.695002464462,14,0
E000245,14,420.70154139477125,14,0
E000246,13,359.3255558322594,13,0
E000247,13,359.6946231963839,13,0
E000248,13,360.543873529427,13,0
E000249,13,363.5459119377447,13,0
E000250,13,366.29744801482246,13,0
E000251,12,341.7472947093445,12,0
E000252,13,352.25245203753036,10,3
E000253,13,346.5769541776568,13,0
E000254,13,349.23555294909426,13,0
E000255,13,347.87883480184854,13,0
E000256,13,347.38901847282733,13,0
E000257,14,345.27491372647046,7,7
E000258,13,373.8613907167363,9,4
E000259,13,373.0502213386021,9,4
E000260,19,371.73154043813844,7,12
E000261,20,634.8991307578793,20,0
E000262,20,642.4266030210553,20,0
E000263,20,646.586519595494,20,0
E000264,20,658.1925451166516,20,0
E000265,20,663.1523206401056,20,0
E000266,20,559.8015347680222,17,3
E000267,20,552.7377068221958,17,3
E000268,20,558.4656333927647,17,3
E000269,16,453.3568052911134,16,0
E000270,16,455.26358224146367,16,0
E000271,16,459.32985714253675,16,0
E000272,16,444.9348068625147,16,0
E000273,16,447.2368350331917,16,0
E000274,13,357.4299544311311,11,2
E000275,20,374.8922400621283,7,13
E000276,21,671.5001679109661,21,0
E000277,21,666.746950941694,21,0
E000278,21,669.157085572744,21,0
E000279,21,676.6206293271943,21,0
E000280,21,666.7932400466615,21,0
E000281,21,664.7177414539701,21,0
E000282,21,667.0572128698126,21,0
E000283,21,671.7093820738796,21,0
E000284,21,708.3453056886001,21,0
E000285,21,719.0186324838813,21,0
E000286,21,715.2799079218947,21,0
E000287,21,719.0358653697684,21,0
E000288,19,629.7132891738319,19,0
E000289,19,634.5560917301692,19,0
E000290,19,637.7921459220264,19,0
E000291,21,669.2966978462038,21,0
E000292,21,674.2279118118361,21,0
E000293,21,569.3515989662792,17,4
E000294,19,542.7124473819335,19,0
E000295,19,545.6558910333038,19,0
E000296,17,476.0754586745928,17,0
E000297,17,470.30460024638637,17,0
E000298,17,472.3488534916899,17,0
E000299,17,468.95272275084164,17,0
E000300,17,469.4388375606407,17,0
E000301,15,374.10880629989674,11,4
E000302,13,323.0781232069714,7,6
E000303,21,390.3441161739638,7,14
E000304,22,710.603872607458,22,0
E000305,20,676.2459422433097,20,0
E000306,22,703.4234471077121,22,0
E000307,22,703.9786902896351,22,0
E000308,22,708.3715978865916,22,0
E000309,22,711.7964043901935,22,0
E000310,22,713.3873880535765,22,0
E000311,21,671.9638084763143,21,0
E000312,18,464.52218151224145,18,0
E000313,18,471.84330661992163,18,0
E000314,18,473.0997302646853,18,0
E000315,16,390.08231022273395,11,5
E000316,16,396.33536164096705,11,5
E000317,22,384.7061136438489,7,15
E000318,23,722.801313748922,23,0
E000319,23,741.9163797431811,23,0
E000320,23,752.5873478879641,23,0
E000321,23,769.3442109668119,23,0
E000322,21,655.9912831728989,18,3
E000323,23,699.2317475033674,23,0
E000324,21,678.7440714640926,21,0
E000325,23,601.7739586078523,17,6
E000326,23,608.926119957182,17,6
E000327,23,389.3741419305246,7,16
E000328,24,735.6293248364933,24,0
E000329,24,737.1619997094518,24,0
E000330,24,741.6764507000172,24,0
E000331,24,740.38370772144,24,0
E000332,24,741.4548777457527,24,0
E000333,24,743.4865670487821,24,0
E000334,24,743.4865670487821,24,0
E000335,24,797.9160401316572,24,0
E000336,24,801.0613508940783,24,0
E000337,24,801.5886140592894,24,0
E000338,24,803.3273222006791,24,0
E000339,24,806.0477541024801,24,0
E000340,24,807.5470458966026,24,0
E000341,24,774.7760327252231,24,0
E000342,24,775.4016689696332,24,0
E000343,24,777.1594385116626,24,0
E000344,24,780.8348833775416,24,0
E000345,24,803.8443636033435,24,0
E000346,22,663.0181035580499,18,4
E000347,24,687.8201434325036,24,0
E000348,24,693.512678769145,24,0
E000349,22,724.8598163201798,22,0
E000350,22,728.9098315435175,22,0
E000351,22,729.0499810397375,22,0
E000352,22,723.37225008833,22,0
E000353,22,723.7531020824708,22,0
E000354,22,726.4314906561372,22,0
E000355,22,728.3535645816665,22,0
E000356,21,673.6704284834811,21,0
E000357,21,677.4053272309465,21,0
E000358,24,394.1326726305794,7,17
E000359,23,668.1667826149408,18,5
E000360,25,746.0782349860336,21,4
E000361,25,748.2554464745119,21,4
E000362,22,718.6768004077632,22,0
E000363,25,397.121376176505,7,18
E000364,26,752.7929718806829,23,3
E000365,26,757.786193004281,23,3
E000366,24,680.5357866024548,18,6
E000367,26,747.8965078314759,21,5
E000368,26,748.5609474503083,21,5
E000369,26,752.0561000982402,21,5
E000370,26,402.353284388805,7,19
E000371,26,415.7772996258826,7,19
E000372,27,760.7695663701047,21,6
E000373,28,778.6992646965956,23,5
E000374,28,779.4965722899888,23,5
E000375,28,767.3439764678909,21,7
E000376,29,785.904134773026,23,6
E000377,29,787.9986940826155,23,6
E000378,29,791.1281508073358,23,6
E000379,29,774.8142799056676,21,8
E000380,30,793.4713958346007,23,7
E000381,30,800.9075861380672,23,7
